País ;Universidad ;Ciudad ;Sitio Web ;Carreras ;Inicio y Fin de Semestres;Fechas de Nominación;Observaciones ;Requisitos Generales y  Específicos;Cupos ;Idiomas ;Costos estimados 
España;Universidad Europea ;Madrid, España;https://universidadeuropea.com/en/study-ue/study-abroad/;Todas las facultades ;"Semestre 1: Septiembre a Enero
Semestre 2: Febrero a Junio ";Pendiente ;Se paga por crédito académico: 166€ / ECTS. Al regresar a UVG se paga el 50% del curso a convalidar.;Certificado de idioma obligatorio para Medicina y Odontología. Para el resto, se recomienda verificar nivel de inglés o español.;Sin límite específico ;;
Colombia ;Universidad del Rosario ;Bogotá, Colombia;https://www.urosario.edu.co/;Pregrado y posgrado ;"PRIMER SEMESTRE 
Finales de julio
Finales de noviembre
SEGUNDO SEMESTRE
Finales de enero
Finales de mayo";"Primer Semestre:
Nominación: Octubre 15
Aplicación: Octubre 30
Segundo Semestre: 
Nominación: Abril 15
Aplicación: Abril 30";Intercambio de estudiantes pregrado y posgrado. Sin intercambio de tuition (cada uno paga a su universidad de origen). Estudiante cubre: alojamiento, transporte, seguro médico, visado, etc. ;;4 cupos (2 por semestre);;
Alemania ;Julius-Maximilians-Universität Würzburg (JMU);Wurzburgo, Alemania;https://www.uni-wuerzburg.de/en/international/;Todas las facultades ;"Semestre Otoño: octubre - febrero
Semestre Primavera: abril - julio";"UVG ? JMU: 30 abril (Otoño) / 30 noviembre (Primavera)
JMU ? UVG: 15 mayo (Otoño) / 15 octubre (Primavera)";Intercambio sin pago de tuition. Estudiante paga: contribución a Studierendenwerk, boleto de transporte, seguro médico, alojamiento, manutención. Máximo 3 semestres. Nivel de idioma: Alemán B1 o inglés. ;"Certifcado de matrícula de la universidad de origen. 
Certificado de cursos aprobados de la universidad de origen.
Confirmacón de dominio del idioma inglés o alemán. (Existe machotes que se pueden descargar y usar, se encuentran en la página web de la universidad). ";Sin límite específico ;Alemania B1 o inglés (certificado);
Estados Unidos ;University of Houston ;Houston, EE. UU.;https://uh.edu/;Todas las facultades ;Pendiente ;Acordar antes del 15 de marzo del año previo;Intercambio recíproco. Cupo: hasta 3 estudiantes por año (máx. 3 por semestre). Sin pago de tuition en anfitriona. Requisito inglés: TOEFL 79 / IELTS 6.5.;;3 estudiantes por año (máx. 3/semestre);Inglés: TOEFL 79 o IELTS 6.5 ;
Japón ;Universidad de Komatsu ;Komatsu, Japón;https://www.komatsu-u.ac.jp/en/;Prácticas académicas ;Pendiente ;Pendiente ;Prácticas académicas (internships). Duración máxima: 10 meses. Puede tener o no remuneración. Estudiante debe tener seguro institucional. La universidad anfitriona ayuda con alojamiento, visas, permisos.;;Sin límite específico ;;
Estados Unidos ;Central Michigan University (CMU) - Disney Academic Exchange Program;"Mount Pleasant, EE. UU.	";https://www.cmich.edu/ (sitio institucional) / https://disneyprograms.com/ (programa Disney);Recreación, turismo, hospitalidad ;1 o 2 semestres (12 créditos/semestre en RPL 321);Nominación UVG, selección final por Disney (Visado J-1);Requisitos: carreras de recreación, turismo, hospitalidad o afines. Costos: matrícula CMU (tarifa especial) y application fee. Disney ofrece compensación económica.;;Sin límite específico ;;
España;Universidad de Castilla - La Mancha ;Castilla-La Mancha, España;https://www.uclm.es/internacional;Todas las facultades ;Pendiente ;Pendiente ;Convenio marco y anexo de intercambio. Cupo: hasta 2 estudiantes por semestre (máx. 4 al año). Sin pago de matrícula en destino. Estudiante cubre: viaje, alojamiento, manutención, seguro, visado. ;;4 al año (2 por semestre);;
Alemania ;Technische Universität Dresden (TU Dresden);Dresde, Alemania;https://tu-dresden.de/;Ingenería Civicil ;TU Dresden: Invierno: 1 oct - 31 mar / Primavera: 1 abr - 30 sep ;"UVG ? TU Dresden: 30 junio (Invierno) / 15 enero (Primavera)
TU Dresden ? UVG: 15 mayo (Invierno) / 15 octubre (Primavera)";Erasmus+ KA171 - Movilidad activa. Ingeniería Civil.  Idioma: Inglés B1 (estudiantes) / B2 (profesores).;1 cupo ;1;;
Colombia ;Universidad de Manizales ;Manizales, Colombia;https://www.umanizales.edu.co/;Todas las facultades ;Pendiente ;Pendiente ;Convenio marco firmado que permite movilidad académica (estudiantes y docentes). Firmado por rectores de ambas universidades. Fecha de firma UVG: 12/5/01 (año por confirmar). Incluye también investigación, desarrollo, innovación y proyección social. Pendiente de confirmar: vigencia, cupos, costos, fechas de nominación y detalles de aplicación.  ;2 cupos ;2;;
Canada ;Université du Québec à Trois-Rivières;Trois-Rivières, Canadá;https://www.uqtr.ca/index.shtml;Todas las facultades ;Pendiente ;"Trimestre otoño y Semestre otoño-invierno: nominación 1 enero - 10 marzo; aplicación 15 febrero - 31 marzo
Trimestre invierno y Semestre invierno-verano: nominación 1 junio - 15 septiembre; aplicación 15 julio - 20 septiembre";Cupo UVG: 2 estudiantes. Fecha límite aplicación UVG: Trimestre otoño: 27 enero / Trimestre invierno: 4 agosto. Estudiante paga matrícula, seguro médico, alojamiento, manutención y tasas administrativas. El costo exacto depende del número de créditos. El idioma de instrucción es francés.;;2;;
